cell_type,gene,gene_type,level,references,comments
Schwann_cells,SOX10,TF,driver,https://doi.org/10.1083/jcb.200912142,
Schwann_cells,EGR2,TF,driver,,
Schwann_cells,POU3F1,TF,driver,,
Schwann_cells,NFKB1,TF,driver,,
Schwann_cells,STAT1,TF,driver,,
Schwann_cells,ZEB2,TF,driver,,
Schwann_cells,EGR1,TF,driver,,
Schwann_cells,SOX2,TF,driver,,
Schwann_cells,KLF4,TF,driver,,
Schwann_cells,MYRF,TF,driver,,
Skeletal_muscle_cells,MYOD1,TF,driver,https://doi.org/10.1016/0092-8674(86)90507-6,
Skeletal_muscle_cells,MYF5,TF,driver,,
Skeletal_muscle_cells,MYOG,TF,driver,,
Skeletal_muscle_cells,MYF6,TF,driver,,
Skeletal_muscle_cells,MEF2A,TF,driver,https://doi.org/10.1073/pnas.1401732111,
Skeletal_muscle_cells,MEF2C,TF,driver,https://doi.org/10.1073/pnas.1401732111,
Skeletal_muscle_cells,PAX3,TF,driver,,
Skeletal_muscle_cells,PAX7,TF,driver,,
Skeletal_muscle_cells,KLF5,TF,driver,,
Skeletal_muscle_cells,SP1,TF,driver,,
Skeletal_muscle_cells,TEAD4,TF,driver,https://doi.org/10.1038/cdd.2011.87,
Smooth_muscle_cells,SRF,TF,driver,,
Smooth_muscle_cells,MYOCD,TF,driver,,
Smooth_muscle_cells,TCF21,TF,driver,,
Smooth_muscle_cells,MEF2B,TF,driver,,
Smooth_muscle_cells,MKL1,TF,driver,,
Smooth_muscle_cells,TEAD1,TF,driver,,
Smooth_muscle_cells,SMARCA4,TF,driver,,
Smooth_muscle_cells,KLF4,TF,driver,,
Smooth_muscle_cells,GATA6,TF,driver,,
Smooth_muscle_cells,FOXO4,TF,driver,,
Squamous_epithelial_cells,TP63,TF,driver,https://doi.org/10.1007/s00018-020-03539-2,
Squamous_epithelial_cells,KLF4,TF,driver,,
Squamous_epithelial_cells,KLF5,TF,driver,https://doi.org/10.1016/j.bbamcr.2024.119789,
Squamous_epithelial_cells,NOTCH3,TF,driver,,
Squamous_epithelial_cells,ELF3,TF,driver,https://doi.org/10.1186/s13036-023-00333-z,
Squamous_epithelial_cells,ELF5,TF,driver,,
Squamous_epithelial_cells,EHF,TF,driver,https://doi.org/10.1242/dev.199542,
Squamous_epithelial_cells,SPDEF,TF,driver,,
Squamous_epithelial_cells,HES5,TF,driver,,
Squamous_epithelial_cells,SNAI1,TF,driver,,
Squamous_epithelial_cells,POU3F1,TF,driver,,
Stellate_cells,RORA,TF,driver,,
Stellate_cells,MYOCD,TF,driver,,
Stellate_cells,FOXO1,TF,driver,,
Stellate_cells,IRF3,TF,driver,,
Stellate_cells,MEF2C,TF,driver,,
Stellate_cells,ZEB1,TF,driver,,
Stellate_cells,ZEB2,TF,driver,,
Stellate_cells,JUNB,TF,function,https://doi.org/10.1136/gut.50.6.891,
Stellate_cells,SOX5,TF,driver,,
Stellate_cells,PPARG,TF,driver,,
Stromal_cells,PPARG,TF,driver,,
Stromal_cells,RUNX2,TF,driver,,
Stromal_cells,SOX9,TF,driver,,
Stromal_cells,CEBPA,TF,driver,,
Stromal_cells,SP7,TF,driver,,
Stromal_cells,KLF4,TF,driver,,
Stromal_cells,ZEB1,TF,driver,,
Stromal_cells,ZFP30,TF,driver,,
Stromal_cells,SMAD4,TF,driver,,
Stromal_cells,TWIST1,TF,driver,,
Sympathoblasts,PHOX2B,TF,driver,,
Sympathoblasts,PHOX2A,TF,driver,https://doi.org/10.1016/j.celrep.2020.108425,
Sympathoblasts,HAND2,TF,driver,https://doi.org/10.1016/j.ydbio.2007.04.027,
Sympathoblasts,GATA3,TF,driver,https://doi.org/10.1242/dev.02553,
Sympathoblasts,INSM1,TF,driver,https://doi.org/10.1096/fj.08-125971,
Sympathoblasts,SOX11,TF,driver,,
Sympathoblasts,MYCN,TF,driver,,
Sympathoblasts,TFAP2B,TF,driver,https://doi.org/10.1016/j.molonc.2015.10.020,
Sympathoblasts,ISL1,TF,driver,https://doi.org/10.1038/s41419-018-0283-9,
Sympathoblasts,ASCL1,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,GCM1,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,TFAP2A,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,DLX3,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,MSX2,TF,function,https://doi.org/10.1371/journal.pone.0153656,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,ESRRB,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,HAND1,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,TEAD4,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,CDX2,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,ELF5,TF,driver,,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,TP63,TF,function,https://doi.org/10.1016/j.ajpath.2014.08.006,
Syncytiotrophoblasts_and_villous_cytotrophoblasts,GATA3,TF,function,https://doi.org/10.1111/his.12681,
Thymic_epithelial_cells,FOXN1,TF,driver,https://doi.org/10.1002/eji.201545814,
Thymic_epithelial_cells,AIRE,TF,driver,,
Thymic_epithelial_cells,IKZF1,TF,driver,,
Thymic_epithelial_cells,PAX1,TF,driver,,
Thymic_epithelial_cells,TBX1,TF,driver,,
Thymic_epithelial_cells,CHD7,TF,driver,,
Thymic_epithelial_cells,FEZF2,TF,driver,,
Thymic_epithelial_cells,FOXI3,TF,driver,,
Thymic_epithelial_cells,TBX2,TF,driver,,
Thymocytes,TCF7,TF,driver,https://doi.org/10.3389/fimmu.2020.00470,
Thymocytes,GATA3,TF,driver,,
Thymocytes,RUNX1,TF,driver,https://doi.org/10.1084/jem.20070133,
Thymocytes,RUNX3,TF,driver,https://doi.org/10.1084/jem.20070133,
Thymocytes,BCL11B,TF,driver,,
Thymocytes,IKZF1,TF,function,https://doi.org/10.4049/jimmunol.181.9.6265,
Thymocytes,TOX,TF,driver,,
Thymocytes,EGR1,TF,driver,,
Thymocytes,ETS1,TF,driver,https://doi.org/10.1084/jem.20092024,
Thymocytes,KLF2,TF,driver,,
Trophoblast_giant_cells,HAND1,TF,driver,,
Trophoblast_giant_cells,ASCL2,TF,driver,,
Trophoblast_giant_cells,GATA2,TF,driver,https://doi.org/10.1242/dev.124.4.907,
Trophoblast_giant_cells,GATA3,TF,driver,https://doi.org/10.1242/dev.124.4.907,
Trophoblast_giant_cells,CDX2,TF,driver,,
Trophoblast_giant_cells,EOMES,TF,driver,,
Trophoblast_giant_cells,TEAD4,TF,driver,,
Trophoblast_giant_cells,TP63,TF,driver,,
Trophoblast_giant_cells,ELF5,TF,driver,,
Trophoblast_giant_cells,SOX2,TF,driver,,
Unipolar_brush_cells,EOMES,TF,driver,,
Unipolar_brush_cells,ATOH1,TF,driver,https://doi.org/10.1016/j.devcel.2024.07.007,
Unipolar_brush_cells,PAX6,TF,driver,https://doi.org/10.1523/jneurosci.4385-15.2016,
Unipolar_brush_cells,OLIG3,TF,driver,,
Unipolar_brush_cells,EBF2,TF,driver,,
Unipolar_brush_cells,LHX2,TF,driver,,
Unipolar_brush_cells,PAX2,TF,driver,,
Unipolar_brush_cells,TBR1,TF,driver,,
Ureteric_bud_cells,TP63,TF,driver,,
Ureteric_bud_cells,FOXF1,TF,driver,,
Ureteric_bud_cells,ETV4,TF,driver,,
Ureteric_bud_cells,ETV5,TF,driver,,
Ureteric_bud_cells,LHX1,TF,driver,,
Ureteric_bud_cells,BMP4,TF,driver,,
Ureteric_bud_cells,TCF21,TF,driver,,
Ureteric_bud_cells,GATA3,TF,driver,https://doi.org/10.1038/ki.1995.223,
Ureteric_bud_cells,PAX2,TF,driver,https://doi.org/10.1242/dev.128.23.4747,
Ureteric_bud_cells,HOXB7,TF,driver,,
Ureteric_bud_cells,EMX2,TF,driver,https://doi.org/10.1242/dev.124.9.1653,
Vascular_endothelial_cells,ETV2,TF,driver,,
Vascular_endothelial_cells,KLF2,TF,driver,,
Vascular_endothelial_cells,SOX18,TF,driver,https://doi.org/10.1016/S1050-1738(01)00131-1,
Vascular_endothelial_cells,GATA2,TF,driver,https://doi.org/10.1038/emboj.2011.173,
Vascular_endothelial_cells,FOXC2,TF,driver,,
Vascular_endothelial_cells,HEY2,TF,driver,,
Vascular_endothelial_cells,NR2F2,TF,driver,https://doi.org/10.1161/CIRCRESAHA.119.316075,
Vascular_endothelial_cells,PROX1,TF,driver,,
Vascular_endothelial_cells,TAL1,TF,driver,https://doi.org/10.1038/s41598-022-11297-3,
Vascular_endothelial_cells,ERG,TF,driver,https://doi.org/10.1016/j.devcel.2014.11.016,
Visceral_neurons,PHOX2B,TF,driver,https://doi.org/10.1073/pnas.1110416108,
Visceral_neurons,NKX2-2,TF,driver,,
Visceral_neurons,NKX2-9,TF,driver,,
Visceral_neurons,PHOX2A,TF,driver,https://doi.org/10.1016/S0959-437X(02)00322-2,
Visceral_neurons,ISL1,TF,driver,https://doi.org/10.1038/s41419-018-0283-9,
Visceral_neurons,NEUROG2,TF,driver,,
Visceral_neurons,ONECUT1,TF,driver,,
Visceral_neurons,POU4F1,TF,driver,,
Visceral_neurons,HES1,TF,driver,,
Visceral_neurons,BTG2,TF,driver,,
